,GEOID,total_population,white_population,non_white_percent
6195,360470224002,1571,1178,25.02
5725,360610195002,1217,912,25.06
2348,360610080003,1400,1049,25.07
6474,360850096021,1232,923,25.08
5319,360470157003,1323,991,25.09
5355,360470171004,872,653,25.11
2498,360850170131,2126,1592,25.12
5538,360050138001,1862,1394,25.13
4537,360610157005,1249,935,25.14
5678,360610012002,998,747,25.15
2354,360610081006,974,729,25.15
2520,360850189023,1252,937,25.16
6642,360610063001,2213,1656,25.17
6273,360610033003,1770,1324,25.20
5709,360610191001,1551,1160,25.21
5159,360610175006,1578,1180,25.22
3548,360610126013,1302,973,25.27
772,360610039002,1575,1177,25.27
581,360470560002,1510,1128,25.30
2997,360610110005,743,555,25.30
2321,360610072006,908,678,25.33
3289,360610124007,754,563,25.33
4521,360610154014,1397,1043,25.34
2352,360610081003,820,612,25.37
6458,360850067002,993,741,25.38
863,360610048001,1264,943,25.40
5320,360470157004,1051,784,25.40
6104,360810633021,704,525,25.43
6564,360470591001,987,736,25.43
869,360610054001,1942,1448,25.44
