"","GEOID","total_population","white_population","non_white_percent"
"513","360850105002",799,535,33.0413016270338
"514","360850105005",1524,209,86.2860892388451
"515","360850112012",2184,1534,29.7619047619048
"516","360850112031",2151,1376,36.0297536029754
"517","360850112040",0,0,NA
"518","360850114011",917,612,33.2606324972737
"519","360850114022",1274,806,36.734693877551
"520","360850121002",976,833,14.6516393442623
"521","360850122002",1107,879,20.5962059620596
"522","360850125001",1552,436,71.9072164948454
"523","360850128040",0,0,NA
"524","360850128043",36,18,50
"525","360850128052",226,163,27.8761061946903
"526","360850128060",0,0,NA
"527","360850128062",1103,741,32.8195829555757
"528","360850128065",2275,1538,32.3956043956044
"529","360850134003",1802,1301,27.8024417314095
"530","360850138003",1726,1367,20.7995365005794
"531","360850141001",1405,510,63.7010676156584
"532","360850146042",1672,1372,17.9425837320574
"533","360850146051",1852,1596,13.8228941684665
"534","360850146062",2095,1746,16.6587112171838
"535","360850146071",2584,2088,19.1950464396285
"536","360850146082",1770,1440,18.6440677966102
"537","360850147003",1119,850,24.0393208221626
"538","360850151003",733,568,22.5102319236016
"539","360850151005",1022,746,27.0058708414873
"540","360850156011",1287,1092,15.1515151515152
"541","360850156014",1006,884,12.1272365805169
"542","360850156021",817,733,10.281517747858
"543","360850156024",902,794,11.9733924611973
"544","360850156032",1846,1439,22.0476706392199
"545","360850170122",1836,1501,18.2461873638344
"546","360850170132",2207,1538,30.3126415949252
"547","360850170151",2713,2294,15.4441577589384
"548","360850173001",1486,677,54.4414535666218
"549","360850176001",1509,1358,10.0066269052353
"550","360850176004",1123,942,16.1175422974176
"551","360850177013",763,613,19.6592398427261
"552","360850177022",1114,957,14.0933572710952
"553","360850181003",940,729,22.4468085106383
"554","360050001001",3772,637,83.1124072110286
"555","360050002002",2057,164,92.0272241127856
"556","360050020011",2322,341,85.3143841515935
"557","360050020021",1465,160,89.0784982935154
"558","360050023001",2690,244,90.9293680297398
"559","360050024000",0,0,NA
"560","360050025002",1462,141,90.3556771545828
"561","360050025004",964,81,91.597510373444
"562","360050027012",1899,180,90.521327014218
"563","360050027023",1689,186,88.98756660746
"564","360050028002",1894,61,96.779303062302
"565","360050031001",2964,167,94.3657219973009
"566","360470535002",942,845,10.2972399150743
"567","360470537001",1215,1128,7.16049382716049
"568","360470538002",1781,1170,34.3065693430657
"569","360470539001",346,284,17.9190751445087
"570","360470542002",1717,1059,38.3226557949913
"571","360470544001",1271,1075,15.4209284028324
"572","360470545001",573,479,16.4048865619546
"573","360470545004",722,634,12.1883656509695
"574","360470551003",1260,734,41.7460317460317
"575","360470552001",1290,953,26.1240310077519
"576","360470553001",971,692,28.7332646755922
"577","360470554001",2054,1238,39.7273612463486
"578","360470555001",8688,5561,35.9921731123389
"579","360470556003",1003,531,47.0588235294118
"580","360470558001",1289,1033,19.8603568657874
"581","360470560002",1510,1128,25.2980132450331
"582","360470561002",816,675,17.2794117647059
"583","360470561004",879,630,28.3276450511945
"584","360470563011",1472,1000,32.0652173913043
"585","360470563014",1341,867,35.3467561521253
"586","360470563022",1690,858,49.2307692307692
"587","360470564003",602,411,31.7275747508306
"588","360470565003",1223,921,24.693376941946
"589","360470568001",772,411,46.7616580310881
"590","360470574001",1421,562,60.4503870513723
"591","360470575002",1068,692,35.2059925093633
"592","360470576001",1449,523,63.9061421670117
"593","360470578002",1723,824,52.1764364480557
"594","360470579021",0,0,NA
"595","360470582001",989,376,61.9817997977755
"596","360470582003",1362,855,37.2246696035242
"597","360470586001",1230,398,67.6422764227642
"598","360470588002",1707,1340,21.4997070884593
"599","360470589021",0,0,NA
"600","360470591002",836,667,20.2153110047847
"601","360470592001",1272,809,36.3993710691824
"602","360470593001",1310,962,26.5648854961832
"603","360470594022",1400,949,32.2142857142857
